Big Ten,Claude VonStroke,124,380.34285714285716,/home/kaileen/Documents/CSC475/Project/music_repo/02 Big Ten.m4a
I Am A Rock,Simon and Garfunkel,114,171.45614512471656,/home/kaileen/Documents/CSC475/Project/music_repo/I Am A Rock.m4a
America,Simon and Garfunkel,60,213.25206349206348,/home/kaileen/Documents/CSC475/Project/music_repo/America.m4a
The Party Song,Blink-182,122,139.38938775510204,/home/kaileen/Documents/CSC475/Project/music_repo/The Party Song.m4a
Me,Catz n' Dogz & Pol_On,126,438.6481632653061,/home/kaileen/Documents/CSC475/Project/music_repo/01 Me.m4a
Battlestar Galacticlown (Original Mix),Akufen,127,362.6956916099773,/home/kaileen/Documents/CSC475/Project/music_repo/01 Battlestar Galacticlown (Original Mix).m4a
Rough Roads (Original Mix),Dirt Crew,122,388.72526077097507,/home/kaileen/Documents/CSC475/Project/music_repo/02 Rough Roads (Original Mix).m4a
Future Us,accatone,124,450.7921995464853,/home/kaileen/Documents/CSC475/Project/music_repo/02 Future Us.m4a
Intro,Disclosure,69,59.14122448979592,/home/kaileen/Documents/CSC475/Project/music_repo/01 Intro.m4a
Mrs. Robinson,Simon and Garfunkel,92,236.19337868480724,/home/kaileen/Documents/CSC475/Project/music_repo/Mrs. Robinson.m4a
Naive Response,Daniel Avery,60,323.3146485260771,/home/kaileen/Documents/CSC475/Project/music_repo/05 Naive Response.m4a
Sex On The Beach - Kaysh vs Ok Sure Remix,"DTF, Allie J",116,350.6445351473923,/home/kaileen/Documents/CSC475/Project/music_repo/Sex On The Beach - Kaysh vs Ok Sure Remix.m4a
Zodiaccupuncture,Aesop Rock,100,261.8049886621315,/home/kaileen/Documents/CSC475/Project/music_repo/03 Zodiaccupuncture.m4a
Geese,Frits Wentink,118,359.49133786848074,/home/kaileen/Documents/CSC475/Project/music_repo/02 Geese.m4a
,,124,481.9354648526077,/home/kaileen/Documents/CSC475/Project/music_repo/Keep Movin'.wav
Over My Head (Better Off Dead),Sum 41,92,149.35074829931972,/home/kaileen/Documents/CSC475/Project/music_repo/Over My Head (Better Off Dead).m4a
Commuter,Ceephax Acid Crew,126,331.4184126984127,/home/kaileen/Documents/CSC475/Project/music_repo/04 Commuter.m4a
Around The World,Daft Punk,121,429.54594104308393,/home/kaileen/Documents/CSC475/Project/music_repo/07 Around The World.m4a
